Designator,Mid X,Mid Y,Rotation,Layer
D1,76.2,-83.475,0.0,top
D10,130.9688,-47.625,90.0,bottom
D11,131.0591,-74.4739,0.0,bottom
D12,111.6362,-74.4151,0.0,bottom
D13,92.584,-74.4374,0.0,bottom
D14,131.0979,-93.3077,0.0,bottom
D15,92.4298,-93.3209,0.0,bottom
D16,130.9903,-112.3105,0.0,bottom
D17,111.5753,-112.2064,0.0,bottom
D18,92.4943,-112.5043,0.0,bottom
D2,76.2,-87.025,0.0,top
D3,76.2,-90.575,0.0,top
D4,76.2,-94.125,0.0,top
D5,76.2,-97.675,0.0,top
D6,76.2,-101.225,0.0,top
D7,76.2,-104.775,0.0,top
D8,76.2,-108.325,0.0,top
D9,76.2,-111.875,0.0,top
J1,120.0088,-47.74,0.0,top
SW1,92.8688,-64.585,0.0,top
SW11,111.9188,-85.725,0.0,top
SW2,111.9188,-64.585,0.0,top
SW3,130.9688,-64.585,0.0,top
SW4,130.9688,-83.635,0.0,top
SW5,130.9688,-102.685,0.0,top
SW6,111.9188,-102.685,0.0,top
SW7,92.8688,-102.685,0.0,top
SW8,92.8688,-83.635,0.0,top
U1,68.8728,-46.2495,0.0,top
